acc,train,test,train_task,test_task
0.75,MSC01,MSC03,motor,mixed
0.7,MSC01,MSC03,motor,mixed
0.85,MSC01,MSC03,motor,mixed
0.9,MSC01,MSC03,motor,mixed
0.7,MSC01,MSC03,motor,mixed
0.5,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.7,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.85,MSC01,MSC03,motor,mem
0.8,MSC01,MSC03,motor,mem
0.75,MSC01,MSC03,motor,mem
0.7,MSC01,MSC04,mixed,mem
0.8,MSC01,MSC04,mixed,mem
0.9,MSC01,MSC04,mixed,mem
0.85,MSC01,MSC04,mixed,mem
0.85,MSC01,MSC04,mixed,mem
0.85,MSC01,MSC04,mixed,mem
0.8,MSC01,MSC04,mixed,mem
0.75,MSC01,MSC04,mixed,mem
0.75,MSC01,MSC04,mixed,mem
0.8,MSC01,MSC04,mixed,mem
0.7,MSC01,MSC04,mixed,motor
0.85,MSC01,MSC04,mixed,motor
0.9,MSC01,MSC04,mixed,motor
0.9,MSC01,MSC04,mixed,motor
0.9,MSC01,MSC04,mixed,motor
0.85,MSC01,MSC04,mixed,motor
0.8,MSC01,MSC04,mixed,motor
0.8,MSC01,MSC04,mixed,motor
0.75,MSC01,MSC04,mixed,motor
0.85,MSC01,MSC04,mixed,motor
0.8,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.9,MSC01,MSC04,mem,mixed
0.8,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.85,MSC01,MSC04,mem,mixed
0.9,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.85,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.85,MSC01,MSC04,mem,motor
0.9,MSC01,MSC04,mem,motor
0.5,MSC01,MSC04,motor,mixed
0.8,MSC01,MSC04,motor,mixed
0.7,MSC01,MSC04,motor,mixed
0.7,MSC01,MSC04,motor,mixed
0.75,MSC01,MSC04,motor,mixed
0.8,MSC01,MSC04,motor,mixed
0.75,MSC01,MSC04,motor,mixed
0.85,MSC01,MSC04,motor,mixed
0.85,MSC01,MSC04,motor,mixed
0.7,MSC01,MSC04,motor,mixed
0.55,MSC01,MSC04,motor,mem
0.7,MSC01,MSC04,motor,mem
0.65,MSC01,MSC04,motor,mem
0.65,MSC01,MSC04,motor,mem
0.65,MSC01,MSC04,motor,mem
0.7,MSC01,MSC04,motor,mem
0.7,MSC01,MSC04,motor,mem
0.7,MSC01,MSC04,motor,mem
0.75,MSC01,MSC04,motor,mem
0.65,MSC01,MSC04,motor,mem
0.65,MSC01,MSC05,mixed,mem
0.8,MSC01,MSC05,mixed,mem
0.75,MSC01,MSC05,mixed,mem
0.85,MSC01,MSC05,mixed,mem
0.8,MSC01,MSC05,mixed,mem
0.8,MSC01,MSC05,mixed,mem
0.75,MSC01,MSC05,mixed,mem
0.75,MSC01,MSC05,mixed,mem
0.65,MSC01,MSC05,mixed,mem
0.9,MSC01,MSC05,mixed,mem
0.6,MSC01,MSC05,mixed,motor
0.8,MSC01,MSC05,mixed,motor
0.75,MSC01,MSC05,mixed,motor
0.85,MSC01,MSC05,mixed,motor
0.8,MSC01,MSC05,mixed,motor
0.8,MSC01,MSC05,mixed,motor
0.75,MSC01,MSC05,mixed,motor
0.75,MSC01,MSC05,mixed,motor
0.65,MSC01,MSC05,mixed,motor
0.9,MSC01,MSC05,mixed,motor
0.75,MSC01,MSC05,mem,mixed
0.85,MSC01,MSC05,mem,mixed
0.75,MSC01,MSC05,mem,mixed
0.8,MSC01,MSC05,mem,mixed
0.8,MSC01,MSC05,mem,mixed
0.75,MSC01,MSC05,mem,mixed
0.85,MSC01,MSC05,mem,mixed
0.8,MSC01,MSC05,mem,mixed
0.85,MSC01,MSC05,mem,mixed
0.85,MSC01,MSC05,mem,mixed
0.7,MSC01,MSC05,mem,motor
0.9,MSC01,MSC05,mem,motor
0.85,MSC01,MSC05,mem,motor
0.85,MSC01,MSC05,mem,motor
0.9,MSC01,MSC05,mem,motor
0.75,MSC01,MSC05,mem,motor
0.95,MSC01,MSC05,mem,motor
0.8,MSC01,MSC05,mem,motor
0.95,MSC01,MSC05,mem,motor
0.8,MSC01,MSC05,mem,motor
0.5,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.65,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.7,MSC01,MSC05,motor,mixed
0.6,MSC01,MSC05,motor,mem
0.9,MSC01,MSC05,motor,mem
0.7,MSC01,MSC05,motor,mem
0.85,MSC01,MSC05,motor,mem
0.85,MSC01,MSC05,motor,mem
0.85,MSC01,MSC05,motor,mem
0.8,MSC01,MSC05,motor,mem
0.85,MSC01,MSC05,motor,mem
0.9,MSC01,MSC05,motor,mem
0.8,MSC01,MSC05,motor,mem
0.5,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
1.0,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.95,MSC01,MSC06,mixed,mem
0.9,MSC01,MSC06,mixed,mem
0.55,MSC01,MSC06,mixed,motor
0.95,MSC01,MSC06,mixed,motor
0.85,MSC01,MSC06,mixed,motor
0.9,MSC01,MSC06,mixed,motor
0.9,MSC01,MSC06,mixed,motor
0.85,MSC01,MSC06,mixed,motor
0.95,MSC01,MSC06,mixed,motor
0.85,MSC01,MSC06,mixed,motor
0.95,MSC01,MSC06,mixed,motor
0.8,MSC01,MSC06,mixed,motor
0.6,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.7,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.65,MSC01,MSC06,mem,mixed
0.75,MSC01,MSC06,mem,motor
0.85,MSC01,MSC06,mem,motor
0.8,MSC01,MSC06,mem,motor
0.85,MSC01,MSC06,mem,motor
0.85,MSC01,MSC06,mem,motor
0.85,MSC01,MSC06,mem,motor
0.9,MSC01,MSC06,mem,motor
0.8,MSC01,MSC06,mem,motor
0.85,MSC01,MSC06,mem,motor
0.8,MSC01,MSC06,mem,motor
0.5,MSC01,MSC06,motor,mixed
0.55,MSC01,MSC06,motor,mixed
0.5,MSC01,MSC06,motor,mixed
0.5,MSC01,MSC06,motor,mixed
0.55,MSC01,MSC06,motor,mixed
0.5,MSC01,MSC06,motor,mixed
0.5,MSC01,MSC06,motor,mixed
0.55,MSC01,MSC06,motor,mixed
0.55,MSC01,MSC06,motor,mixed
0.55,MSC01,MSC06,motor,mixed
0.5,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.55,MSC01,MSC06,motor,mem
0.95,MSC01,MSC07,mixed,mem
0.55,MSC01,MSC07,mixed,mem
0.75,MSC01,MSC07,mixed,mem
0.6,MSC01,MSC07,mixed,mem
0.55,MSC01,MSC07,mixed,mem
0.6,MSC01,MSC07,mixed,mem
0.5,MSC01,MSC07,mixed,mem
0.5,MSC01,MSC07,mixed,mem
0.5,MSC01,MSC07,mixed,mem
0.7,MSC01,MSC07,mixed,mem
1.0,MSC01,MSC07,mixed,motor
0.55,MSC01,MSC07,mixed,motor
0.75,MSC01,MSC07,mixed,motor
0.6,MSC01,MSC07,mixed,motor
0.55,MSC01,MSC07,mixed,motor
0.6,MSC01,MSC07,mixed,motor
0.5,MSC01,MSC07,mixed,motor
0.5,MSC01,MSC07,mixed,motor
0.5,MSC01,MSC07,mixed,motor
0.7,MSC01,MSC07,mixed,motor
0.9,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.65,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.7,MSC01,MSC07,mem,mixed
0.65,MSC01,MSC07,mem,mixed
0.75,MSC01,MSC07,mem,mixed
0.9,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.65,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.7,MSC01,MSC07,mem,motor
0.65,MSC01,MSC07,mem,motor
0.75,MSC01,MSC07,mem,motor
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.9,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.95,MSC01,MSC07,motor,mixed
0.7,MSC01,MSC07,motor,mem
0.8,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.8,MSC01,MSC07,motor,mem
0.75,MSC01,MSC07,motor,mem
0.7,MSC01,MSC10,mixed,mem
0.75,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.8,MSC01,MSC10,mixed,mem
0.7,MSC01,MSC10,mixed,mem
0.75,MSC01,MSC10,mixed,mem
0.65,MSC01,MSC10,mixed,mem
0.85,MSC01,MSC10,mixed,mem
0.8,MSC01,MSC10,mixed,motor
0.75,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mixed,motor
0.7,MSC01,MSC10,mixed,motor
0.75,MSC01,MSC10,mixed,motor
0.65,MSC01,MSC10,mixed,motor
0.85,MSC01,MSC10,mixed,motor
0.8,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.8,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.85,MSC01,MSC10,mem,mixed
0.75,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.85,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.9,MSC01,MSC10,mem,motor
0.85,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.8,MSC01,MSC10,mem,motor
0.55,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.6,MSC01,MSC10,motor,mixed
0.65,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.75,MSC01,MSC10,motor,mixed
0.7,MSC01,MSC10,motor,mixed
0.65,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.75,MSC01,MSC10,motor,mem
0.85,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.95,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.95,MSC01,MSC10,motor,mem
0.9,MSC01,MSC10,motor,mem
0.85,MSC01,MSC10,motor,mem
