acc,train,test,train_task,test_task
0.6,MSC02,MSC06,mixed,mem
0.85,MSC02,MSC06,mixed,mem
0.9,MSC02,MSC06,mixed,mem
0.85,MSC02,MSC06,mixed,mem
0.7,MSC02,MSC06,mixed,mem
0.7777777777777778,MSC02,MSC06,mixed,motor
0.6111111111111112,MSC02,MSC06,mixed,motor
0.6111111111111112,MSC02,MSC06,mixed,motor
0.7222222222222222,MSC02,MSC06,mixed,motor
0.7777777777777778,MSC02,MSC06,mixed,motor
0.6111111111111112,MSC02,MSC06,mixed,motor
0.7222222222222222,MSC02,MSC06,mixed,motor
0.7777777777777778,MSC02,MSC06,mixed,motor
0.7777777777777778,MSC02,MSC06,mixed,motor
0.5555555555555556,MSC02,MSC06,mixed,motor
0.55,MSC02,MSC06,mem,mixed
0.55,MSC02,MSC06,mem,mixed
0.65,MSC02,MSC06,mem,mixed
0.65,MSC02,MSC06,mem,mixed
0.65,MSC02,MSC06,mem,mixed
0.55,MSC02,MSC06,mem,mixed
0.6,MSC02,MSC06,mem,mixed
0.65,MSC02,MSC06,mem,mixed
0.65,MSC02,MSC06,mem,mixed
0.6,MSC02,MSC06,mem,mixed
0.5,MSC02,MSC06,mem,motor
0.5,MSC02,MSC06,mem,motor
0.5555555555555556,MSC02,MSC06,mem,motor
0.5555555555555556,MSC02,MSC06,mem,motor
0.6111111111111112,MSC02,MSC06,mem,motor
0.5,MSC02,MSC06,mem,motor
0.5555555555555556,MSC02,MSC06,mem,motor
0.5555555555555556,MSC02,MSC06,mem,motor
0.6111111111111112,MSC02,MSC06,mem,motor
0.5,MSC02,MSC06,mem,motor
0.75,MSC02,MSC06,motor,mixed
0.7,MSC02,MSC06,motor,mixed
0.75,MSC02,MSC06,motor,mixed
0.75,MSC02,MSC06,motor,mixed
0.65,MSC02,MSC06,motor,mixed
0.65,MSC02,MSC06,motor,mixed
0.7,MSC02,MSC06,motor,mixed
0.7,MSC02,MSC06,motor,mixed
0.65,MSC02,MSC06,motor,mixed
0.8,MSC02,MSC06,motor,mixed
0.7,MSC02,MSC06,motor,mem
0.7,MSC02,MSC06,motor,mem
0.75,MSC02,MSC06,motor,mem
0.8,MSC02,MSC06,motor,mem
0.7,MSC02,MSC06,motor,mem
0.75,MSC02,MSC06,motor,mem
0.6,MSC02,MSC06,motor,mem
0.75,MSC02,MSC06,motor,mem
0.6,MSC02,MSC06,motor,mem
0.8,MSC02,MSC06,motor,mem
0.55,MSC02,MSC07,mixed,mem
0.55,MSC02,MSC07,mixed,mem
0.55,MSC02,MSC07,mixed,mem
0.5,MSC02,MSC07,mixed,mem
0.5,MSC02,MSC07,mixed,mem
0.5,MSC02,MSC07,mixed,mem
0.5,MSC02,MSC07,mixed,mem
0.6,MSC02,MSC07,mixed,mem
0.55,MSC02,MSC07,mixed,mem
0.5,MSC02,MSC07,mixed,mem
0.5555555555555556,MSC02,MSC07,mixed,motor
0.5555555555555556,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5555555555555556,MSC02,MSC07,mixed,motor
0.5555555555555556,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mixed,motor
0.5,MSC02,MSC07,mem,mixed
0.5,MSC02,MSC07,mem,mixed
0.45,MSC02,MSC07,mem,mixed
0.4,MSC02,MSC07,mem,mixed
0.4,MSC02,MSC07,mem,mixed
0.45,MSC02,MSC07,mem,mixed
0.4,MSC02,MSC07,mem,mixed
0.55,MSC02,MSC07,mem,mixed
0.4,MSC02,MSC07,mem,mixed
0.6,MSC02,MSC07,mem,mixed
0.5,MSC02,MSC07,mem,motor
0.4444444444444444,MSC02,MSC07,mem,motor
0.3888888888888889,MSC02,MSC07,mem,motor
0.5,MSC02,MSC07,mem,motor
0.5,MSC02,MSC07,mem,motor
0.4444444444444444,MSC02,MSC07,mem,motor
0.5,MSC02,MSC07,mem,motor
0.4444444444444444,MSC02,MSC07,mem,motor
0.3888888888888889,MSC02,MSC07,mem,motor
0.6111111111111112,MSC02,MSC07,mem,motor
0.6,MSC02,MSC07,motor,mixed
0.55,MSC02,MSC07,motor,mixed
0.55,MSC02,MSC07,motor,mixed
0.5,MSC02,MSC07,motor,mixed
0.55,MSC02,MSC07,motor,mixed
0.5,MSC02,MSC07,motor,mixed
0.6,MSC02,MSC07,motor,mixed
0.65,MSC02,MSC07,motor,mixed
0.65,MSC02,MSC07,motor,mixed
0.5,MSC02,MSC07,motor,mixed
0.5,MSC02,MSC07,motor,mem
0.55,MSC02,MSC07,motor,mem
0.45,MSC02,MSC07,motor,mem
0.4,MSC02,MSC07,motor,mem
0.4,MSC02,MSC07,motor,mem
0.55,MSC02,MSC07,motor,mem
0.5,MSC02,MSC07,motor,mem
0.5,MSC02,MSC07,motor,mem
0.5,MSC02,MSC07,motor,mem
0.6,MSC02,MSC07,motor,mem
0.45,MSC02,MSC10,mixed,mem
0.6,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.55,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,mem
0.5,MSC02,MSC10,mixed,motor
0.6,MSC02,MSC10,mixed,motor
0.5,MSC02,MSC10,mixed,motor
0.55,MSC02,MSC10,mixed,motor
0.55,MSC02,MSC10,mixed,motor
0.55,MSC02,MSC10,mixed,motor
0.6,MSC02,MSC10,mixed,motor
0.55,MSC02,MSC10,mixed,motor
0.5,MSC02,MSC10,mixed,motor
0.55,MSC02,MSC10,mixed,motor
0.65,MSC02,MSC10,mem,mixed
0.7,MSC02,MSC10,mem,mixed
0.75,MSC02,MSC10,mem,mixed
0.65,MSC02,MSC10,mem,mixed
0.55,MSC02,MSC10,mem,mixed
0.6,MSC02,MSC10,mem,mixed
0.8,MSC02,MSC10,mem,mixed
0.45,MSC02,MSC10,mem,mixed
0.55,MSC02,MSC10,mem,mixed
0.65,MSC02,MSC10,mem,mixed
0.6,MSC02,MSC10,mem,motor
0.65,MSC02,MSC10,mem,motor
0.6,MSC02,MSC10,mem,motor
0.65,MSC02,MSC10,mem,motor
0.6,MSC02,MSC10,mem,motor
0.55,MSC02,MSC10,mem,motor
0.75,MSC02,MSC10,mem,motor
0.6,MSC02,MSC10,mem,motor
0.65,MSC02,MSC10,mem,motor
0.6,MSC02,MSC10,mem,motor
0.5,MSC02,MSC10,motor,mixed
0.75,MSC02,MSC10,motor,mixed
0.75,MSC02,MSC10,motor,mixed
0.5,MSC02,MSC10,motor,mixed
0.5,MSC02,MSC10,motor,mixed
0.8,MSC02,MSC10,motor,mixed
0.55,MSC02,MSC10,motor,mixed
0.55,MSC02,MSC10,motor,mixed
0.55,MSC02,MSC10,motor,mixed
0.75,MSC02,MSC10,motor,mixed
0.6,MSC02,MSC10,motor,mem
0.7,MSC02,MSC10,motor,mem
0.7,MSC02,MSC10,motor,mem
0.55,MSC02,MSC10,motor,mem
0.6,MSC02,MSC10,motor,mem
0.65,MSC02,MSC10,motor,mem
0.55,MSC02,MSC10,motor,mem
0.65,MSC02,MSC10,motor,mem
0.75,MSC02,MSC10,motor,mem
0.75,MSC02,MSC10,motor,mem
0.5,MSC03,MSC01,mixed,mem
0.75,MSC03,MSC01,mixed,mem
0.5,MSC03,MSC01,mixed,mem
0.55,MSC03,MSC01,mixed,mem
0.6,MSC03,MSC01,mixed,mem
0.7,MSC03,MSC01,mixed,mem
0.65,MSC03,MSC01,mixed,mem
0.65,MSC03,MSC01,mixed,mem
0.65,MSC03,MSC01,mixed,mem
0.6,MSC03,MSC01,mixed,mem
0.45,MSC03,MSC01,mixed,motor
0.7,MSC03,MSC01,mixed,motor
0.5,MSC03,MSC01,mixed,motor
0.5,MSC03,MSC01,mixed,motor
0.65,MSC03,MSC01,mixed,motor
0.65,MSC03,MSC01,mixed,motor
0.6,MSC03,MSC01,mixed,motor
0.65,MSC03,MSC01,mixed,motor
0.7,MSC03,MSC01,mixed,motor
0.65,MSC03,MSC01,mixed,motor
0.45,MSC03,MSC01,mem,mixed
0.45,MSC03,MSC01,mem,mixed
0.5,MSC03,MSC01,mem,mixed
0.45,MSC03,MSC01,mem,mixed
0.5,MSC03,MSC01,mem,mixed
0.5,MSC03,MSC01,mem,mixed
0.4,MSC03,MSC01,mem,mixed
0.45,MSC03,MSC01,mem,mixed
0.55,MSC03,MSC01,mem,motor
0.5,MSC03,MSC01,mem,motor
0.55,MSC03,MSC01,mem,motor
0.5,MSC03,MSC01,mem,motor
0.55,MSC03,MSC01,mem,motor
0.55,MSC03,MSC01,mem,motor
0.45,MSC03,MSC01,mem,motor
0.5,MSC03,MSC01,mem,motor
0.35,MSC03,MSC01,motor,mixed
0.55,MSC03,MSC01,motor,mixed
0.45,MSC03,MSC01,motor,mixed
0.4,MSC03,MSC01,motor,mixed
0.45,MSC03,MSC01,motor,mixed
0.5,MSC03,MSC01,motor,mixed
0.4,MSC03,MSC01,motor,mixed
0.5,MSC03,MSC01,motor,mixed
0.4,MSC03,MSC01,motor,mixed
0.45,MSC03,MSC01,motor,mixed
0.65,MSC03,MSC01,motor,mem
0.65,MSC03,MSC01,motor,mem
0.65,MSC03,MSC01,motor,mem
0.6,MSC03,MSC01,motor,mem
0.5,MSC03,MSC01,motor,mem
0.55,MSC03,MSC01,motor,mem
0.55,MSC03,MSC01,motor,mem
0.55,MSC03,MSC01,motor,mem
0.65,MSC03,MSC01,motor,mem
0.6,MSC03,MSC01,motor,mem
0.45,MSC03,MSC02,mixed,mem
0.5,MSC03,MSC02,mixed,mem
0.45,MSC03,MSC02,mixed,mem
0.4,MSC03,MSC02,mixed,mem
0.45,MSC03,MSC02,mixed,mem
0.5,MSC03,MSC02,mixed,mem
0.5,MSC03,MSC02,mixed,mem
0.5,MSC03,MSC02,mixed,mem
0.5,MSC03,MSC02,mixed,mem
0.45,MSC03,MSC02,mixed,mem
0.55,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.55,MSC03,MSC02,mixed,motor
0.55,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.55,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.5,MSC03,MSC02,mixed,motor
0.6,MSC03,MSC02,mem,mixed
0.55,MSC03,MSC02,mem,mixed
0.55,MSC03,MSC02,mem,mixed
0.55,MSC03,MSC02,mem,mixed
0.6,MSC03,MSC02,mem,mixed
0.6,MSC03,MSC02,mem,mixed
0.55,MSC03,MSC02,mem,mixed
0.6,MSC03,MSC02,mem,mixed
0.6,MSC03,MSC02,mem,motor
0.5,MSC03,MSC02,mem,motor
0.6,MSC03,MSC02,mem,motor
0.55,MSC03,MSC02,mem,motor
0.55,MSC03,MSC02,mem,motor
0.6,MSC03,MSC02,mem,motor
0.45,MSC03,MSC02,mem,motor
0.6,MSC03,MSC02,mem,motor
0.6,MSC03,MSC02,motor,mixed
0.55,MSC03,MSC02,motor,mixed
0.55,MSC03,MSC02,motor,mixed
0.55,MSC03,MSC02,motor,mixed
0.5,MSC03,MSC02,motor,mixed
0.65,MSC03,MSC02,motor,mixed
0.5,MSC03,MSC02,motor,mixed
0.6,MSC03,MSC02,motor,mixed
0.65,MSC03,MSC02,motor,mixed
0.7,MSC03,MSC02,motor,mixed
0.7,MSC03,MSC02,motor,mem
0.55,MSC03,MSC02,motor,mem
0.6,MSC03,MSC02,motor,mem
0.6,MSC03,MSC02,motor,mem
0.5,MSC03,MSC02,motor,mem
0.65,MSC03,MSC02,motor,mem
0.5,MSC03,MSC02,motor,mem
0.65,MSC03,MSC02,motor,mem
0.65,MSC03,MSC02,motor,mem
0.7,MSC03,MSC02,motor,mem
0.7,MSC03,MSC04,mixed,mem
0.65,MSC03,MSC04,mixed,mem
0.75,MSC03,MSC04,mixed,mem
0.5,MSC03,MSC04,mixed,mem
0.75,MSC03,MSC04,mixed,mem
0.55,MSC03,MSC04,mixed,mem
0.55,MSC03,MSC04,mixed,mem
0.65,MSC03,MSC04,mixed,mem
0.55,MSC03,MSC04,mixed,mem
0.5,MSC03,MSC04,mixed,mem
0.75,MSC03,MSC04,mixed,motor
0.65,MSC03,MSC04,mixed,motor
0.7,MSC03,MSC04,mixed,motor
0.65,MSC03,MSC04,mixed,motor
0.75,MSC03,MSC04,mixed,motor
0.55,MSC03,MSC04,mixed,motor
0.6,MSC03,MSC04,mixed,motor
0.65,MSC03,MSC04,mixed,motor
0.55,MSC03,MSC04,mixed,motor
0.6,MSC03,MSC04,mixed,motor
0.55,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.55,MSC03,MSC04,mem,mixed
0.5,MSC03,MSC04,mem,mixed
0.55,MSC03,MSC04,mem,motor
0.55,MSC03,MSC04,mem,motor
0.5,MSC03,MSC04,mem,motor
0.55,MSC03,MSC04,mem,motor
0.55,MSC03,MSC04,mem,motor
0.5,MSC03,MSC04,mem,motor
0.55,MSC03,MSC04,mem,motor
0.55,MSC03,MSC04,mem,motor
0.5,MSC03,MSC04,motor,mixed
0.6,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mixed
0.45,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mixed
0.6,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mixed
0.65,MSC03,MSC04,motor,mixed
0.55,MSC03,MSC04,motor,mem
0.6,MSC03,MSC04,motor,mem
0.7,MSC03,MSC04,motor,mem
0.45,MSC03,MSC04,motor,mem
0.6,MSC03,MSC04,motor,mem
0.6,MSC03,MSC04,motor,mem
0.55,MSC03,MSC04,motor,mem
0.6,MSC03,MSC04,motor,mem
0.6,MSC03,MSC04,motor,mem
0.7,MSC03,MSC04,motor,mem
0.55,MSC03,MSC05,mixed,mem
0.7,MSC03,MSC05,mixed,mem
0.75,MSC03,MSC05,mixed,mem
0.6,MSC03,MSC05,mixed,mem
0.65,MSC03,MSC05,mixed,mem
0.65,MSC03,MSC05,mixed,mem
0.6,MSC03,MSC05,mixed,mem
0.6,MSC03,MSC05,mixed,mem
0.65,MSC03,MSC05,mixed,mem
0.65,MSC03,MSC05,mixed,mem
0.65,MSC03,MSC05,mixed,motor
0.7,MSC03,MSC05,mixed,motor
0.75,MSC03,MSC05,mixed,motor
0.65,MSC03,MSC05,mixed,motor
0.6,MSC03,MSC05,mixed,motor
0.65,MSC03,MSC05,mixed,motor
0.6,MSC03,MSC05,mixed,motor
0.55,MSC03,MSC05,mixed,motor
0.6,MSC03,MSC05,mixed,motor
0.65,MSC03,MSC05,mixed,motor
0.5,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,mixed
0.55,MSC03,MSC05,mem,mixed
0.45,MSC03,MSC05,mem,mixed
0.5,MSC03,MSC05,mem,motor
0.55,MSC03,MSC05,mem,motor
0.55,MSC03,MSC05,mem,motor
0.5,MSC03,MSC05,mem,motor
0.5,MSC03,MSC05,mem,motor
0.65,MSC03,MSC05,mem,motor
0.5,MSC03,MSC05,mem,motor
0.4,MSC03,MSC05,mem,motor
0.6,MSC03,MSC05,motor,mixed
0.7,MSC03,MSC05,motor,mixed
0.6,MSC03,MSC05,motor,mixed
0.65,MSC03,MSC05,motor,mixed
0.75,MSC03,MSC05,motor,mixed
0.5,MSC03,MSC05,motor,mixed
0.6,MSC03,MSC05,motor,mixed
0.7,MSC03,MSC05,motor,mixed
0.6,MSC03,MSC05,motor,mixed
0.65,MSC03,MSC05,motor,mixed
0.65,MSC03,MSC05,motor,mem
0.65,MSC03,MSC05,motor,mem
0.65,MSC03,MSC05,motor,mem
0.6,MSC03,MSC05,motor,mem
0.7,MSC03,MSC05,motor,mem
0.5,MSC03,MSC05,motor,mem
0.6,MSC03,MSC05,motor,mem
0.55,MSC03,MSC05,motor,mem
0.6,MSC03,MSC05,motor,mem
0.65,MSC03,MSC05,motor,mem
0.65,MSC03,MSC06,mixed,mem
0.65,MSC03,MSC06,mixed,mem
0.75,MSC03,MSC06,mixed,mem
0.75,MSC03,MSC06,mixed,mem
0.55,MSC03,MSC06,mixed,mem
0.55,MSC03,MSC06,mixed,mem
0.5,MSC03,MSC06,mixed,mem
0.6,MSC03,MSC06,mixed,mem
0.6,MSC03,MSC06,mixed,mem
0.65,MSC03,MSC06,mixed,mem
0.6111111111111112,MSC03,MSC06,mixed,motor
0.6666666666666666,MSC03,MSC06,mixed,motor
0.7777777777777778,MSC03,MSC06,mixed,motor
0.6666666666666666,MSC03,MSC06,mixed,motor
0.6111111111111112,MSC03,MSC06,mixed,motor
0.5555555555555556,MSC03,MSC06,mixed,motor
0.5,MSC03,MSC06,mixed,motor
0.5555555555555556,MSC03,MSC06,mixed,motor
0.5555555555555556,MSC03,MSC06,mixed,motor
0.6111111111111112,MSC03,MSC06,mixed,motor
0.55,MSC03,MSC06,mem,mixed
0.6,MSC03,MSC06,mem,mixed
0.65,MSC03,MSC06,mem,mixed
0.45,MSC03,MSC06,mem,mixed
0.5,MSC03,MSC06,mem,mixed
0.5,MSC03,MSC06,mem,mixed
0.5,MSC03,MSC06,mem,mixed
0.55,MSC03,MSC06,mem,mixed
0.6111111111111112,MSC03,MSC06,mem,motor
0.5555555555555556,MSC03,MSC06,mem,motor
0.5555555555555556,MSC03,MSC06,mem,motor
0.5555555555555556,MSC03,MSC06,mem,motor
0.5555555555555556,MSC03,MSC06,mem,motor
0.6111111111111112,MSC03,MSC06,mem,motor
0.6111111111111112,MSC03,MSC06,mem,motor
0.6111111111111112,MSC03,MSC06,mem,motor
0.5,MSC03,MSC06,motor,mixed
0.45,MSC03,MSC06,motor,mixed
0.55,MSC03,MSC06,motor,mixed
0.55,MSC03,MSC06,motor,mixed
0.45,MSC03,MSC06,motor,mixed
0.45,MSC03,MSC06,motor,mixed
0.5,MSC03,MSC06,motor,mixed
0.45,MSC03,MSC06,motor,mixed
0.55,MSC03,MSC06,motor,mixed
0.65,MSC03,MSC06,motor,mixed
0.55,MSC03,MSC06,motor,mem
0.6,MSC03,MSC06,motor,mem
0.65,MSC03,MSC06,motor,mem
0.6,MSC03,MSC06,motor,mem
0.6,MSC03,MSC06,motor,mem
0.55,MSC03,MSC06,motor,mem
0.6,MSC03,MSC06,motor,mem
0.5,MSC03,MSC06,motor,mem
0.55,MSC03,MSC06,motor,mem
0.75,MSC03,MSC06,motor,mem
0.45,MSC03,MSC07,mixed,mem
0.5,MSC03,MSC07,mixed,mem
0.45,MSC03,MSC07,mixed,mem
0.5,MSC03,MSC07,mixed,mem
0.55,MSC03,MSC07,mixed,mem
0.5,MSC03,MSC07,mixed,mem
0.45,MSC03,MSC07,mixed,mem
0.45,MSC03,MSC07,mixed,mem
0.55,MSC03,MSC07,mixed,mem
0.45,MSC03,MSC07,mixed,mem
0.4444444444444444,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.3888888888888889,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.5,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.5,MSC03,MSC07,mixed,motor
0.4444444444444444,MSC03,MSC07,mixed,motor
0.6,MSC03,MSC07,mem,mixed
0.65,MSC03,MSC07,mem,mixed
0.65,MSC03,MSC07,mem,mixed
0.5,MSC03,MSC07,mem,mixed
0.6,MSC03,MSC07,mem,mixed
0.6,MSC03,MSC07,mem,mixed
0.6,MSC03,MSC07,mem,mixed
0.6,MSC03,MSC07,mem,mixed
0.7222222222222222,MSC03,MSC07,mem,motor
0.6666666666666666,MSC03,MSC07,mem,motor
0.7222222222222222,MSC03,MSC07,mem,motor
0.5,MSC03,MSC07,mem,motor
0.5,MSC03,MSC07,mem,motor
0.6111111111111112,MSC03,MSC07,mem,motor
0.6666666666666666,MSC03,MSC07,mem,motor
0.5,MSC03,MSC07,mem,motor
0.75,MSC03,MSC07,motor,mixed
0.65,MSC03,MSC07,motor,mixed
0.7,MSC03,MSC07,motor,mixed
0.85,MSC03,MSC07,motor,mixed
0.75,MSC03,MSC07,motor,mixed
0.75,MSC03,MSC07,motor,mixed
0.55,MSC03,MSC07,motor,mixed
0.7,MSC03,MSC07,motor,mixed
0.7,MSC03,MSC07,motor,mixed
0.75,MSC03,MSC07,motor,mixed
0.6,MSC03,MSC07,motor,mem
0.55,MSC03,MSC07,motor,mem
0.6,MSC03,MSC07,motor,mem
0.75,MSC03,MSC07,motor,mem
0.6,MSC03,MSC07,motor,mem
0.65,MSC03,MSC07,motor,mem
0.55,MSC03,MSC07,motor,mem
0.6,MSC03,MSC07,motor,mem
0.5,MSC03,MSC07,motor,mem
0.6,MSC03,MSC07,motor,mem
0.4,MSC03,MSC10,mixed,mem
0.35,MSC03,MSC10,mixed,mem
0.3,MSC03,MSC10,mixed,mem
0.2,MSC03,MSC10,mixed,mem
0.45,MSC03,MSC10,mixed,mem
0.4,MSC03,MSC10,mixed,mem
0.5,MSC03,MSC10,mixed,mem
0.35,MSC03,MSC10,mixed,mem
0.45,MSC03,MSC10,mixed,mem
0.4,MSC03,MSC10,mixed,mem
0.5,MSC03,MSC10,mixed,motor
0.45,MSC03,MSC10,mixed,motor
0.45,MSC03,MSC10,mixed,motor
0.4,MSC03,MSC10,mixed,motor
0.6,MSC03,MSC10,mixed,motor
0.5,MSC03,MSC10,mixed,motor
0.5,MSC03,MSC10,mixed,motor
0.5,MSC03,MSC10,mixed,motor
0.5,MSC03,MSC10,mixed,motor
0.55,MSC03,MSC10,mixed,motor
0.6,MSC03,MSC10,mem,mixed
0.65,MSC03,MSC10,mem,mixed
0.6,MSC03,MSC10,mem,mixed
0.6,MSC03,MSC10,mem,mixed
0.6,MSC03,MSC10,mem,mixed
0.6,MSC03,MSC10,mem,mixed
0.65,MSC03,MSC10,mem,mixed
0.6,MSC03,MSC10,mem,mixed
0.65,MSC03,MSC10,mem,motor
0.7,MSC03,MSC10,mem,motor
0.6,MSC03,MSC10,mem,motor
0.65,MSC03,MSC10,mem,motor
0.6,MSC03,MSC10,mem,motor
0.7,MSC03,MSC10,mem,motor
0.75,MSC03,MSC10,mem,motor
0.65,MSC03,MSC10,mem,motor
0.5,MSC03,MSC10,motor,mixed
0.45,MSC03,MSC10,motor,mixed
0.35,MSC03,MSC10,motor,mixed
0.45,MSC03,MSC10,motor,mixed
0.45,MSC03,MSC10,motor,mixed
0.5,MSC03,MSC10,motor,mixed
0.45,MSC03,MSC10,motor,mixed
0.45,MSC03,MSC10,motor,mixed
0.5,MSC03,MSC10,motor,mixed
0.55,MSC03,MSC10,motor,mixed
0.55,MSC03,MSC10,motor,mem
0.5,MSC03,MSC10,motor,mem
0.4,MSC03,MSC10,motor,mem
0.55,MSC03,MSC10,motor,mem
0.5,MSC03,MSC10,motor,mem
0.55,MSC03,MSC10,motor,mem
0.45,MSC03,MSC10,motor,mem
0.4,MSC03,MSC10,motor,mem
0.6,MSC03,MSC10,motor,mem
0.55,MSC03,MSC10,motor,mem
0.5,MSC04,MSC01,mixed,mem
0.6,MSC04,MSC01,mixed,mem
0.55,MSC04,MSC01,mixed,mem
0.55,MSC04,MSC01,mixed,mem
0.6,MSC04,MSC01,mixed,mem
0.45,MSC04,MSC01,mixed,mem
0.7,MSC04,MSC01,mixed,mem
0.5,MSC04,MSC01,mixed,mem
0.6,MSC04,MSC01,mixed,mem
0.45,MSC04,MSC01,mixed,mem
0.5,MSC04,MSC01,mixed,motor
0.7,MSC04,MSC01,mixed,motor
0.6,MSC04,MSC01,mixed,motor
0.6,MSC04,MSC01,mixed,motor
0.65,MSC04,MSC01,mixed,motor
0.5,MSC04,MSC01,mixed,motor
0.75,MSC04,MSC01,mixed,motor
0.55,MSC04,MSC01,mixed,motor
0.65,MSC04,MSC01,mixed,motor
0.5,MSC04,MSC01,mixed,motor
0.5,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.55,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.6,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,mixed
0.55,MSC04,MSC01,mem,mixed
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.55,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,mem,motor
0.5,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.65,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.7,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.65,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.6,MSC04,MSC01,motor,mixed
0.5,MSC04,MSC01,motor,mem
0.65,MSC04,MSC01,motor,mem
0.65,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.7,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.6,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.55,MSC04,MSC01,motor,mem
0.6,MSC04,MSC02,mixed,mem
0.6,MSC04,MSC02,mixed,mem
0.6,MSC04,MSC02,mixed,mem
0.6,MSC04,MSC02,mixed,mem
0.7,MSC04,MSC02,mixed,mem
0.65,MSC04,MSC02,mixed,mem
0.75,MSC04,MSC02,mixed,mem
0.6,MSC04,MSC02,mixed,mem
0.7,MSC04,MSC02,mixed,mem
0.7,MSC04,MSC02,mixed,mem
0.65,MSC04,MSC02,mixed,motor
0.65,MSC04,MSC02,mixed,motor
0.55,MSC04,MSC02,mixed,motor
0.6,MSC04,MSC02,mixed,motor
0.7,MSC04,MSC02,mixed,motor
0.65,MSC04,MSC02,mixed,motor
0.7,MSC04,MSC02,mixed,motor
0.6,MSC04,MSC02,mixed,motor
0.7,MSC04,MSC02,mixed,motor
0.7,MSC04,MSC02,mixed,motor
0.55,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.55,MSC04,MSC02,mem,mixed
0.55,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.6,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,mixed
0.5,MSC04,MSC02,mem,motor
0.5,MSC04,MSC02,mem,motor
0.5,MSC04,MSC02,mem,motor
0.5,MSC04,MSC02,mem,motor
0.5,MSC04,MSC02,mem,motor
